id,estacion,Fecha,clat,clong
3,"RETIRO","2010-12-01 13:46:00",-34.592300,-58.375000
5,"ADUANA","2010-12-01 13:46:00",-34.611400,-58.369100
6,"DERECHO","2010-12-01 12:17:00",-34.583700,-58.391200
7,"PLAZA ROMA","2010-12-13 21:05:00",-34.601600,-58.369400
8,"PLAZA ITALIA","2011-01-03 19:18:00",-34.580200,-58.420700
9,"PARQUE LEZAMA","2011-01-03 19:20:00",-34.628000,-58.369900
10,"OBELISCO","2011-01-11 23:41:00",-34.606300,-58.381100
15,"CONGRESO","2011-01-27 14:59:00",-34.609800,-58.389300
16,"PARQUE LAS HERAS","2011-02-10 15:05:00",-34.585000,-58.407600
17,"UCA PUERTO MADERO","2011-02-25 18:36:00",-34.616000,-58.365700
18,"TRIBUNALES","2011-03-28 13:22:00",-34.601300,-58.385000
19,"PLAZA VICENTE LOPEZ","2011-04-27 12:54:00",-34.593400,-58.389700
20,"ONCE","2011-05-21 00:37:00",-34.609500,-58.407600
21,"PACIFICO","2011-06-06 16:45:00",-34.577500,-58.426200
22,"VIRREY CEVALLOS","2011-06-15 16:24:00",-34.622800,-58.388900
23,"PLAZA HOUSSAY","2011-06-29 16:26:00",-34.599000,-58.398200
24,"PLAZA DE MAYO","2011-08-03 12:29:00",-34.609900,-58.374700
25,"PLAZA ALMAGRO","2011-08-30 12:48:00",-34.605900,-58.419500
26,"CMD","2011-09-06 11:10:00",-34.654300,-58.380400
27,"INDEPENDENCIA","2011-09-16 12:52:00",-34.617900,-58.380500
28,"PLAZA SAN MARTIN","2011-09-16 12:54:00",-34.595000,-58.378300
30,"DISTRITO AUDIOVISUAL","2012-06-12 15:03:00",-34.580400,-58.442400
32,"PARQUE PATRICIOS","2012-09-28 12:38:00",-34.638100,-58.410300
33,"ARENALES","2012-10-23 17:34:00",-34.594100,-58.382600
34,"SUIPACHA","2012-11-05 13:51:00",-34.600200,-58.379200
35,"ALSINA","2012-11-12 13:58:00",-34.610600,-58.380900
36,"EMMA DE LA BARRA","2012-11-23 12:30:00",-34.600500,-58.363700
37,"PLAZA GÜEMES","2012-11-27 10:53:00",-34.589600,-58.416400
38,"MONTEVIDEO","2013-06-24 11:32:00",-34.599500,-58.389700
39,"PLAZA BOEDO","2013-07-29 08:51:00",-34.623000,-58.412300
40,"PLAZA EMILIO MITRE","2013-08-10 15:04:00",-34.5884700, -58.3977158
41,"PARQUE CENTENARIO","2013-09-02 14:39:00",-34.6084345, -58.4345268
