aniomes,traveledDistance_Sum,trDistance_Accum
"2010-12",9406.126543,9406.126543
"2011-01",26618.922762,36025.049305
"2011-02",46948.842085,82973.891390
"2011-03",70012.261774,152986.153164
"2011-04",91322.045856,244308.199020
"2011-05",111799.839103,356108.038123
"2011-06",89617.402760,445725.440882
"2011-07",79494.371067,525219.811950
"2011-08",107124.662671,632344.474621
"2011-09",182268.291920,814612.766541
"2011-10",185474.376057,1000087.142598
"2011-11",213125.540501,1213212.683099
"2011-12",131172.465695,1344385.148794
"2012-01",147179.793768,1491564.942562
"2012-02",144839.013613,1636403.956175
"2012-03",188650.543278,1825054.499453
"2012-04",153927.912639,1978982.412092
"2012-05",170673.286022,2149655.698113
"2012-06",136600.297840,2286255.995954
"2012-07",117605.964154,2403861.960107
"2012-08",181056.947228,2584918.907335
"2012-09",187243.557853,2772162.465189
"2012-10",230723.194514,3002885.659702
"2012-11",248895.652450,3251781.312152
"2012-12",214347.795603,3466129.107755
"2013-01",257682.649996,3723811.757751
"2013-02",214524.992723,3938336.750474
"2013-03",262104.385251,4200441.135725
"2013-04",325847.570791,4526288.706515
"2013-05",281912.285061,4808200.991576
"2013-06",228411.766702,5036612.758278
"2013-07",216046.949344,5252659.707622
"2013-08",264415.867108,5517075.574730
"2013-09",277337.656551,5794413.231281
