dia,temp_media,temp_max,temp_min
2010/12/01,26,31,20
2010/12/02,24,27,21
2010/12/03,20,24,16
2010/12/04,21,23,19
2010/12/05,21,25,17
2010/12/06,24,27,20
2010/12/07,27,31,23
2010/12/08,23,27,19
2010/12/09,21,24,18
2010/12/10,22,25,18
2010/12/11,22,26,18
2010/12/12,16,20,11
2010/12/13,20,26,14
2010/12/14,23,29,17
2010/12/15,25,30,20
2010/12/16,24,28,21
2010/12/17,27,32,22
2010/12/18,20,22,18
2010/12/19,21,24,18
2010/12/20,25,29,21
2010/12/21,26,31,20
2010/12/22,28,33,24
2010/12/23,28,34,23
2010/12/24,26,31,21
2010/12/25,29,36,22
2010/12/26,26,30,22
2010/12/27,27,31,23
2010/12/28,28,31,25
2010/12/29,25,28,22
2010/12/30,25,28,22
2010/12/31,25,28,22
2011/01/01,24,27,21
2011/01/02,25,28,22
2011/01/03,24,27,22
2011/01/04,24,27,22
2011/01/05,26,29,22
2011/01/06,24,30,18
2011/01/07,27,34,20
2011/01/08,24,29,20
2011/01/09,24,28,21
2011/01/10,23,27,19
2011/01/11,23,26,20
2011/01/12,24,26,21
2011/01/13,26,30,22
2011/01/14,26,30,22
2011/01/15,25,28,22
2011/01/16,26,31,21
2011/01/17,22,26,17
2011/01/18,24,28,20
2011/01/19,22,24,20
2011/01/20,22,25,19
2011/01/21,23,27,19
2011/01/22,26,29,22
2011/01/23,27,31,23
2011/01/24,28,30,25
2011/01/25,28,32,25
2011/01/26,27,31,23
2011/01/27,25,28,22
2011/01/28,28,33,23
2011/01/29,24,27,21
2011/01/30,26,30,22
2011/01/31,27,31,23
2011/02/01,20,24,16
2011/02/02,23,28,18
2011/02/03,26,31,22
2011/02/04,23,27,19
2011/02/05,26,33,20
2011/02/06,20,23,16
2011/02/07,23,25,21
2011/02/08,22,25,20
2011/02/09,22,26,19
2011/02/10,21,25,17
2011/02/11,22,25,20
2011/02/12,23,26,20
2011/02/13,26,31,21
2011/02/14,22,26,18
2011/02/15,25,29,21
2011/02/16,24,28,21
2011/02/17,28,31,24
2011/02/18,24,25,22
2011/02/19,24,26,21
2011/02/20,23,26,20
2011/02/21,24,26,21
2011/02/22,24,27,22
2011/02/23,24,25,22
2011/02/24,22,25,19
2011/02/25,22,26,17
2011/02/26,22,26,18
2011/02/27,25,29,21
2011/02/28,25,27,23
2011/03/01,23,25,21
2011/03/02,24,27,20
2011/03/03,24,27,21
2011/03/04,25,28,22
2011/03/05,24,27,22
2011/03/06,24,26,21
2011/03/07,24,26,22
2011/03/08,24,28,21
2011/03/09,26,29,23
2011/03/10,27,30,24
2011/03/11,27,31,23
2011/03/12,23,28,17
2011/03/13,16,21,11
2011/03/14,16,20,13
2011/03/15,19,21,17
2011/03/16,21,24,18
2011/03/17,24,27,20
2011/03/18,21,27,15
2011/03/19,19,23,15
2011/03/20,22,26,19
2011/03/21,24,28,20
2011/03/22,24,28,20
2011/03/23,19,22,16
2011/03/24,18,22,13
2011/03/25,20,22,18
2011/03/26,20,23,18
2011/03/27,16,20,13
2011/03/28,18,21,15
2011/03/29,18,22,15
2011/03/30,21,25,17
2011/03/31,22,27,17
2011/04/01,22,26,17
2011/04/02,20,23,18
2011/04/03,22,24,19
2011/04/04,18,22,13
2011/04/05,18,25,12
2011/04/06,18,21,15
2011/04/07,21,24,18
2011/04/08,18,22,14
2011/04/09,18,21,14
2011/04/10,20,22,17
2011/04/11,22,25,18
2011/04/12,22,25,19
2011/04/13,23,27,19
2011/04/14,18,21,15
2011/04/15,16,19,14
2011/04/16,18,20,15
2011/04/17,18,20,15
2011/04/18,16,22,10
2011/04/19,16,22,11
2011/04/20,16,17,16
2011/04/21,15,17,13
2011/04/22,19,22,16
2011/04/23,16,19,12
2011/04/24,17,23,11
