origen_estacion_id,destino_estacion_id,distancia
3,3,0
3,5,3291
3,6,1678
3,7,2071
3,8,5094
3,9,3995
3,10,1995
3,15,3158
3,16,3577
3,17,4042
3,18,1863
3,19,1788
3,20,4683
3,21,6022
3,22,4544
3,23,2861
3,24,2065
3,25,5615
3,26,8259
3,27,3551
3,28,515
3,30,8129
3,32,8104
3,33,760
3,34,1211
3,35,2511
3,36,4846
3,37,2251
3,38,2012
3,39,6466
3,40,2836
3,41,7022
5,3,2805
5,5,0
5,6,4483
5,7,1220
5,8,7899
5,9,2194
5,10,2189
5,15,3353
5,16,6320
5,17,751
5,18,2848
5,19,4241
5,20,4878
5,21,8827
5,22,3226
5,23,4905
5,24,641
5,25,5818
5,26,6825
5,27,1920
5,28,2734
5,30,10118
5,32,6785
5,33,3340
5,34,2451
5,35,1163
5,36,7425
5,37,1851
5,38,3811
5,39,5142
5,40,5416
5,41,7225
6,3,1678
6,5,4969
6,6,0
6,7,3749
6,8,3417
6,9,6196
6,10,3127
6,15,3439
6,16,1899
6,17,5720
6,18,2996
6,19,1567
6,20,4964
6,21,4344
6,22,4826
6,23,3150
6,24,3901
6,25,5091
6,26,9880
6,27,4683
6,28,2091
6,30,6737
6,32,8385
6,33,1893
6,34,2343
6,35,3643
6,36,3454
6,37,3929
6,38,2301
6,39,6709
6,40,976
6,41,6498
7,3,1580
7,5,1220
7,6,3257
7,7,0
7,8,6674
7,9,3414
7,10,1511
7,15,2674
7,16,5156
7,17,1971
7,18,2170
7,19,3367
7,20,4199
7,21,7601
7,22,4060
7,23,4226
7,24,1407
7,25,5139
7,26,8045
7,27,3067
7,28,1509
7,30,9439
7,32,7620
7,33,2661
7,34,1219
7,35,2027
7,36,6747
7,37,1199
7,38,3132
7,39,5982
7,40,4737
7,41,6546
8,3,5094
8,5,8386
8,6,3417
8,7,7165
8,8,0
8,9,9612
8,10,6544
8,15,6335
8,16,2316
8,17,9137
8,18,5758
8,19,4984
8,20,4789
8,21,1226
8,22,7721
8,23,4842
8,24,7317
8,25,4028
8,26,12776
8,27,8100
8,28,5508
8,30,2987
8,32,7216
8,33,5309
8,34,5760
8,35,7060
8,36,1514
8,37,7346
8,38,5197
8,39,5646
8,40,3279
8,41,4427
9,3,5298
9,5,2493
9,6,6975
9,7,3713
9,8,10392
9,9,0
9,10,3145
9,15,3510
9,16,7763
9,17,2031
9,18,5341
9,19,5684
9,20,5245
9,21,11319
9,22,2681
9,23,6083
9,24,2096
9,25,6722
9,26,4215
9,27,1862
9,28,5227
9,30,11022
9,32,6205
9,33,5832
9,34,4943
9,35,2629
9,36,8523
9,37,4344
9,38,4735
9,39,4597
9,40,6859
9,41,8157
10,3,2022
10,5,1687
10,6,3132
10,7,1738
10,8,6549
10,9,3069
10,10,0
10,15,1163
10,16,4649
10,17,2437
10,18,915
10,19,2571
10,20,2688
10,21,7476
10,22,2550
10,23,2969
10,24,1051
10,25,3628
10,26,6264
10,27,1556
10,28,1877
10,30,7928
10,32,6109
10,33,1678
10,34,789
10,35,516
10,36,5429
10,37,2937
10,38,1622
10,39,4471
10,40,3745
10,41,5035
15,3,3181
15,5,2073
15,6,3605
15,7,2651
15,8,6570
15,9,3459
15,10,1418
15,15,0
15,16,4253
15,17,2824
15,18,1541
15,19,2175
15,20,2029
15,21,7497
15,22,1386
15,23,2573
15,24,1437
15,25,3232
15,26,6441
15,27,1947
15,28,0
15,30,7532
15,32,4946
15,33,2406
15,34,1948
15,35,902
15,36,5033
15,37,3850
15,38,1226
15,39,3308
15,40,3349
15,41,4639
16,3,3577
16,5,6311
16,6,1899
16,7,5648
16,8,2316
16,9,7478
16,10,4653
16,15,4019
16,16,0
16,17,7062
16,18,3442
16,19,2378
16,20,3953
16,21,3243
16,22,5405
16,23,2525
16,24,5427
16,25,3192
16,26,10460
16,27,5965
16,28,3617
16,30,4838
16,32,6380
16,33,2980
16,34,3869
16,35,4921
16,36,1555
16,37,5828
16,38,2881
16,39,4810
16,40,962
16,41,4599
17,3,3556
17,5,751
17,6,5234
17,7,1971
17,8,8650
17,9,1732
17,10,2940
17,15,3136
17,16,7070
17,17,0
17,18,3599
17,19,4992
17,20,4869
17,21,9577
17,22,2764
17,23,5656
17,24,1392
17,25,6347
17,26,6363
17,27,1458
17,28,3485
17,30,10869
17,32,6323
17,33,4091
17,34,3201
17,35,1914
17,36,8176
17,37,2603
17,38,4562
17,39,4680
17,40,6166
17,41,7778
18,3,1875
18,5,2847
18,6,3076
18,7,1873
18,8,6041
18,9,4258
18,10,1189
18,15,1311
18,16,3724
18,17,3598
18,18,0
18,19,1646
18,20,2836
18,21,6968
18,22,2697
18,23,2044
18,24,1963
18,25,3776
18,26,7752
18,27,2983
18,28,1730
18,30,6847
18,32,6257
18,33,1877
18,34,642
18,35,1705
18,36,3631
18,37,3072
18,38,697
18,39,4619
18,40,2820
18,41,5183
19,3,1788
19,5,4164
19,6,1567
19,7,3190
19,8,4694
19,9,5331
19,10,2506
19,15,1872
19,16,2378
19,17,4915
19,18,1295
19,19,0
19,20,3397
19,21,5621
19,22,3258
19,23,1583
19,24,3280
19,25,4337
19,26,8313
19,27,3818
19,28,1470
19,30,6767
19,32,6818
19,33,833
19,34,1722
19,35,2774
19,36,3484
19,37,4039
19,38,734
19,39,5180
19,40,1474
19,41,5744
20,3,5442
20,5,3932
20,6,5732
20,7,4754
20,8,5007
20,9,5293
20,10,3277
20,15,2127
20,16,4209
20,17,4683
20,18,3669
20,19,4302
20,20,0
20,21,5454
20,22,3220
20,23,1765
20,24,3296
20,25,1731
20,26,8275
20,27,3781
20,28,5145
20,30,6030
20,32,4111
20,33,4533
20,34,4057
20,35,2761
20,36,3531
20,37,5953
20,38,2614
20,39,2541
20,40,2746
20,41,3137
21,3,6022
21,5,9313
21,6,4344
21,7,8093
21,8,1115
21,9,10540
21,10,7471
21,15,7262
21,16,3243
21,17,10064
21,18,6685
21,19,5911
21,20,5972
21,21,0
21,22,8649
21,23,5769
21,24,8244
21,25,5211
21,26,13703
21,27,9027
21,28,6435
21,30,2607
21,32,8399
21,33,6236
21,34,6687
21,35,7987
21,36,1993
21,37,8273
21,38,6124
21,39,6829
21,40,4206
21,41,4703
22,3,4701
22,5,3191
22,6,4991
22,7,4013
22,8,7956
22,9,2439
22,10,2536
22,15,1386
22,16,5640
22,17,2767
22,18,2928
22,19,3561
22,20,3122
22,21,8883
22,22,0
22,23,3960
22,24,2555
22,25,4599
22,26,5055
22,27,1312
22,28,4403
22,30,8899
22,32,3559
22,33,3792
22,34,3316
22,35,2020
22,36,6399
22,37,5212
22,38,2612
22,39,2474
22,40,4736
22,41,6006
23,3,2899
23,5,4897
