Hito,Fecha,Tipo
Inauguramos las Estaciones Retiro y Aduana,12/01/2010,Estacion
Inauguramos la Estación Derecho,12/01/2010,Estacion
Inauguramos la Estación Plaza Roma,12/01/2010,Estacion
Inauguramos las Estaciones Plaza Italia y Parque Lezama,01/03/2011,Estacion
Inauguramos la Estación Obelisco,01/11/2011,Estacion
Inauguramos la Estación Congreso,01/27/2011,Estacion
Primeros 25 mil de viajes,02/03/2011,Numero
Inauguramos la Estación Parque Las Heras,02/10/2011,Estacion
Inauguramos la Estación Uca Puerto Madero,02/25/2011,Estacion
Inauguramos la Estación Tribunales,03/28/2011,Estacion
Inauguramos la Estación Plaza Vicente Lopez,04/27/2011,Estacion
Inauguramos la Estación Once,05/21/2011,Estacion
Primeros 100 mil de viajes,,Numero
Inauguramos la Estación Pacifico,06/06/2011,Estacion
Inauguramos la Estación Virrey Cevallos,06/15/2011,Estacion
Inauguramos la Estación Plaza Houssay,06/29/2011,Estacion
Inauguramos la Estación Plaza De Mayo,08/03/2011,Estacion
Inauguramos la Estación Plaza Almagro,08/30/2011,Estacion
"Inauguramos las Estaciones CMD, Independencia y Plaza San Martín",09/16/2011,Estacion
Primeros 500 mil de viajes,09/15/2011,Numero
Inauguramos la Estación Distrito Audiovisual,06/12/2012,Estacion
Inauguramos la Estación Parque Patricios,09/28/2012,Estacion
Superamos el millón de viajes,,Numero
Inauguramos la Estación Arenales,10/23/2012,Estacion
Inauguramos la Estación Suipacha,11/05/2012,Estacion
Inauguramos la Estación Alsina,11/12/2012,Estacion
Inauguramos la Estación Emma De La Barra,11/23/2012,Estacion
Inauguramos la Estación Plaza Güemes,11/27/2012,Estacion
Superamos el millón y medio de viajes,,Numero
Llegamos a los 50 mil usuarios,,Numero
Inauguramos la Estación Montevideo,06/24/2013,Estacion
Inauguramos la Estación Plaza Boedo,07/29/2013,Estacion
Inauguramos la Estación Plaza Emilio Mitre,08/10/2013,Estacion
Inauguramos la Estación Parque Centenario,09/02/2013,Estacion
